UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2023/08/25T17:50:35z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,76,45,53,1010.30,nan,36568,0,100,12.84,19.04,22.22,12.84,19.04,22.22,66,66,2327.07,685.33,136.84,11.20,4.69,0.56,12.58,19.12,22.72,12.58,19.12,22.72,66,66,2253.07,664.88,147.72,9.95,4.93,0.74,nan
2023/08/25T17:52:34z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,76,44,52,1010.18,0.05,36168,0,219,13.41,21.81,25.90,13.41,21.81,25.90,72,72,2397.83,713.98,161.41,18.84,6.29,0.43,13.49,21.42,24.00,13.49,21.42,24.00,71,71,2394.16,709.89,152.89,12.80,3.45,0.24,25.00
2023/08/25T17:54:34z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,76,44,52,1010.13,0.05,36168,0,339,13.95,20.84,23.49,13.95,20.84,23.49,70,70,2417.42,719.72,154.09,12.37,4.61,0.49,14.02,20.85,23.19,14.02,20.85,23.19,70,70,2414.54,719.97,149.08,8.66,3.85,1.08,25.11
2023/08/25T17:56:34z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,76,43,52,1009.91,0.05,36480,0,459,14.40,22.07,25.47,14.40,22.07,25.47,72,72,2527.58,749.54,155.89,13.79,5.93,0.65,13.73,19.62,22.13,13.73,19.62,22.13,67,67,2411.90,715.90,132.23,7.42,4.27,0.80,25.39
2023/08/25T17:58:34z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,76,43,52,1009.62,0.05,36480,0,579,11.79,18.53,20.40,11.79,18.53,20.40,65,65,2146.68,634.46,138.12,9.63,3.30,0.09,11.05,16.44,18.44,11.05,16.44,18.44,60,60,1979.16,583.51,118.32,5.81,3.14,0.75,26.74
2023/08/25T18:00:34z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,76,43,52,1009.24,0.05,36480,0,699,11.19,17.54,19.41,11.19,17.54,19.41,63,63,2011.63,602.90,126.76,10.15,2.51,1.25,11.23,15.66,17.11,11.23,15.66,17.11,59,59,1888.18,564.89,107.57,5.36,1.55,0.86,33.78
2023/08/25T18:02:34z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,76,43,52,1008.91,0.05,36480,0,819,11.36,15.81,16.59,11.36,15.81,16.59,59,59,1906.81,561.34,108.86,5.10,1.12,0.55,9.90,14.19,14.69,9.90,14.19,14.69,56,56,1805.28,531.00,97.59,5.03,0.47,0.24,40.32
2023/08/25T18:04:34z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,76,43,52,1008.97,0.05,36480,0,939,10.82,15.25,15.91,10.82,15.25,15.91,58,58,1862.58,555.04,108.12,5.30,0.74,0.00,9.43,14.33,14.78,9.43,14.33,14.78,56,56,1703.10,504.03,102.73,2.77,0.55,0.35,46.86
2023/08/25T18:06:34z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,76,43,52,1009.39,0.05,36168,0,1059,10.14,15.76,16.98,10.14,15.76,16.98,59,59,1845.78,546.22,118.43,7.05,1.86,0.00,9.62,13.00,13.76,9.62,13.00,13.76,53,53,1645.86,486.62,86.14,2.76,1.07,0.34,51.52
2023/08/25T18:08:34z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,76,43,52,1009.67,0.05,36480,0,1179,10.88,16.20,17.27,10.88,16.20,17.27,60,60,1861.37,552.56,120.76,6.03,1.61,0.37,10.61,15.00,15.74,10.61,15.00,15.74,57,57,1826.42,538.42,99.47,5.09,1.02,0.53,53.70
