UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2023/10/02T00:01:01z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,73,36,44,1011.41,0.05,36480,0,1059,1.41,1.93,2.10,1.41,1.93,2.10,8,8,368.43,108.40,11.40,0.97,0.24,0.00,1.26,1.60,1.69,1.26,1.60,1.69,7,7,373.14,105.14,7.64,0.79,0.21,0.21,27.09
2023/10/02T00:03:00z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,73,36,44,1011.41,0.05,36480,0,1178,0.88,1.25,1.37,0.88,1.25,1.37,5,5,318.25,91.75,8.39,0.71,0.20,0.20,0.95,1.27,1.29,0.95,1.27,1.29,5,5,312.86,88.39,11.16,0.50,0.00,0.00,26.86
2023/10/02T00:04:40z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,73,36,44,1011.39,nan,36568,0,99,0.87,0.98,1.80,0.87,0.98,1.80,4,4,324.00,94.51,9.27,1.49,1.49,0.00,0.95,1.26,1.26,0.95,1.26,1.26,5,5,341.00,99.43,10.52,0.36,0.00,0.00,nan
2023/10/02T00:06:40z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,73,36,44,1011.41,0.05,36480,0,219,1.07,1.41,1.69,1.07,1.41,1.69,6,6,360.41,106.75,8.32,0.75,0.58,0.24,0.95,1.17,1.29,0.95,1.17,1.29,5,5,293.84,90.57,9.09,0.12,0.12,0.12,25.00
2023/10/02T00:08:40z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,73,36,44,1011.40,0.05,36480,0,339,0.70,1.09,1.23,0.70,1.09,1.23,5,5,347.95,100.21,9.77,0.96,0.19,0.00,0.83,1.10,1.18,0.83,1.10,1.18,5,5,323.00,92.23,9.48,0.08,0.08,0.08,25.09
2023/10/02T00:10:40z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,73,36,44,1011.42,0.05,36480,0,459,0.66,1.11,1.98,0.66,1.11,1.98,5,5,370.29,109.54,14.20,1.21,1.00,0.62,0.63,1.00,1.13,0.63,1.00,1.13,4,4,320.80,91.90,13.97,0.50,0.25,0.25,26.07
2023/10/02T00:12:40z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,73,36,44,1011.42,0.05,36480,0,579,0.77,1.13,1.47,0.77,1.13,1.47,5,5,345.65,98.45,6.75,0.90,0.55,0.28,0.86,1.53,1.68,0.86,1.53,1.68,6,6,350.21,102.49,13.35,0.44,0.21,0.00,26.35
2023/10/02T00:14:40z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,73,36,44,1011.44,0.05,36480,0,699,1.00,1.27,1.35,1.00,1.27,1.35,5,5,349.00,92.98,8.78,0.70,0.17,0.00,1.22,1.31,1.66,1.22,1.31,1.66,5,5,316.76,93.28,8.59,0.60,0.38,0.17,26.23
2023/10/02T00:16:40z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,73,36,44,1011.46,0.05,36480,0,819,1.00,1.36,1.36,1.00,1.36,1.36,6,6,336.00,96.48,8.52,0.09,0.09,0.00,0.95,1.49,1.61,0.95,1.49,1.61,6,6,346.17,97.59,9.32,0.46,0.00,0.00,26.12
2023/10/02T00:18:40z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,73,36,44,1011.49,0.05,36480,0,939,0.68,1.39,1.89,0.68,1.39,1.89,6,6,338.89,97.12,12.38,1.96,0.82,0.21,0.51,0.83,1.27,0.51,0.83,1.27,3,3,303.66,90.92,8.59,0.85,0.56,0.37,27.32
