UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2023/12/11T00:00:45z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,69,32,37,1011.32,0.05,36480,0,581,0.00,0.00,0.17,0.00,0.00,0.17,0,0,45.51,11.51,0.86,0.51,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,41.58,11.53,0.70,0.23,0.00,0.00,27.05
2023/12/11T00:02:44z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,69,31,37,1011.35,0.05,36480,0,700,0.00,0.00,0.00,0.00,0.00,0.00,0,0,66.05,18.88,2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,37.93,11.77,1.34,0.25,0.25,0.00,27.30
2023/12/11T00:04:44z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,69,31,37,1011.31,0.05,36480,0,820,0.00,0.00,0.00,0.00,0.00,0.00,0,0,55.09,16.64,1.26,0.26,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.03,0,0,38.84,9.17,1.22,0.41,0.21,0.21,27.18
2023/12/11T00:06:44z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,69,31,37,1011.31,0.05,36480,0,940,0.00,0.00,0.00,0.00,0.00,0.00,0,0,39.11,11.09,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,40.98,11.85,0.93,0.07,0.07,0.07,26.77
2023/12/11T00:08:44z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,69,31,37,1011.35,0.05,36480,0,1060,0.00,0.00,0.00,0.00,0.00,0.00,0,0,46.09,12.05,1.02,0.22,0.22,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0,0,38.38,9.83,1.50,0.59,0.41,0.16,27.41
2023/12/11T00:10:44z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,69,31,37,1011.37,0.05,36480,0,1180,0.00,0.00,0.00,0.00,0.00,0.00,0,0,44.03,11.46,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,42.05,9.69,0.89,0.00,0.00,0.00,26.84
2023/12/11T00:12:24z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,69,32,37,1011.33,nan,36256,0,100,0.00,0.00,0.00,0.00,0.00,0.00,0,0,40.60,12.82,1.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,29.72,8.42,1.00,0.23,0.23,0.23,nan
2023/12/11T00:14:24z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,69,32,37,1011.41,0.05,36480,0,220,0.00,0.00,0.00,0.00,0.00,0.00,0,0,36.86,10.59,1.08,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.25,0,0,35.25,8.27,0.88,0.25,0.25,0.25,25.00
2023/12/11T00:16:24z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,69,32,37,1011.40,0.05,36480,0,340,0.00,0.00,0.00,0.00,0.00,0.00,0,0,44.37,12.23,0.65,0.19,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0,0,38.79,9.93,1.07,0.00,0.00,0.00,25.09
2023/12/11T00:18:24z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,69,32,38,1011.45,0.05,36480,0,460,0.00,0.00,0.00,0.00,0.00,0.00,0,0,59.74,15.65,2.58,0.37,0.37,0.23,0.00,0.00,0.25,0.00,0.00,0.25,0,0,51.61,12.58,2.27,1.00,0.34,0.22,25.93
2023/12/11T00:20:24z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,69,32,38,1011.44,0.05,36480,0,580,0.00,0.00,0.29,0.00,0.00,0.29,0,0,95.34,28.20,5.05,0.86,0.66,0.34,0.00,0.00,0.05,0.00,0.00,0.05,0,0,79.53,20.67,1.96,0.25,0.09,0.00,26.07
2023/12/11T00:22:24z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,31,38,1011.47,0.05,36480,0,700,0.00,0.00,0.02,0.00,0.00,0.02,0,0,88.90,25.43,4.68,0.63,0.40,0.23,0.00,0.00,0.27,0.00,0.00,0.27,0,0,75.91,22.93,3.80,0.79,0.39,0.18,26.81
2023/12/11T00:24:24z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,31,38,1011.49,0.05,36480,0,820,0.00,0.00,0.09,0.00,0.00,0.09,0,0,99.36,27.07,4.64,0.43,0.43,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0,0,71.22,19.07,1.47,0.43,0.00,0.00,26.92
2023/12/11T00:26:24z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,31,38,1011.50,0.05,36480,0,940,0.00,0.00,0.00,0.00,0.00,0.00,0,0,108.11,29.21,4.63,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,76.98,19.71,1.85,0.27,0.00,0.00,27.10
2023/12/11T00:28:24z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,31,38,1011.49,0.05,36480,0,1060,0.00,0.00,0.17,0.00,0.00,0.17,0,0,91.71,25.19,2.93,0.31,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,73.93,21.37,1.19,0.15,0.15,0.15,26.67
2023/12/11T00:30:24z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,31,38,1011.55,0.05,36480,0,1180,0.00,0.00,0.00,0.00,0.00,0.00,0,0,95.95,25.88,2.81,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,114.43,32.68,3.46,0.45,0.00,0.00,26.83
2023/12/11T00:32:05z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,31,38,1011.53,nan,36568,0,100,0.00,0.00,0.00,0.00,0.00,0.00,0,0,80.35,22.43,3.26,0.46,0.02,0.00,0.00,0.00,0.12,0.00,0.00,0.12,0,0,84.91,24.12,4.12,0.65,0.00,0.00,nan
2023/12/11T00:34:05z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,31,38,1011.59,0.05,36480,0,220,0.00,0.00,0.00,0.00,0.00,0.00,0,0,103.63,29.68,3.08,0.34,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.11,0,0,85.18,23.88,3.30,0.50,0.25,0.25,25.00
2023/12/11T00:36:05z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,31,38,1011.69,0.05,36480,0,340,0.00,0.00,0.00,0.00,0.00,0.00,0,0,70.97,18.81,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,72.35,19.98,2.23,0.00,0.00,0.00,25.09
2023/12/11T00:38:05z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,31,38,1011.74,0.05,36480,0,460,0.00,0.00,0.00,0.00,0.00,0.00,0,0,80.46,22.18,1.79,0.23,0.23,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0,0,65.29,19.90,3.53,0.00,0.00,0.00,27.78
2023/12/11T00:40:05z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,31,38,1011.77,0.05,36168,0,580,0.00,0.00,0.00,0.00,0.00,0.00,0,0,78.92,22.08,2.85,0.39,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,44.74,12.72,1.30,0.00,0.00,0.00,29.16
2023/12/11T00:42:05z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,31,38,1011.79,0.05,36480,0,700,0.00,0.00,0.00,0.00,0.00,0.00,0,0,66.20,18.46,1.20,0.42,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,52.68,13.65,1.26,0.00,0.00,0.00,29.63
2023/12/11T00:44:05z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,31,38,1011.77,0.05,36480,0,820,0.00,0.00,0.00,0.00,0.00,0.00,0,0,47.49,13.36,1.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,53.90,15.28,0.88,0.00,0.00,0.00,30.38
2023/12/11T00:46:05z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,31,38,1011.79,0.05,36480,0,940,0.00,0.00,0.00,0.00,0.00,0.00,0,0,63.16,17.45,2.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,46.19,12.50,1.53,0.00,0.00,0.00,31.31
2023/12/11T00:48:05z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,31,38,1011.84,0.05,36480,0,1060,0.00,0.00,0.00,0.00,0.00,0.00,0,0,37.02,10.73,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,42.05,9.92,1.97,0.20,0.00,0.00,32.05
2023/12/11T00:50:05z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,31,38,1011.86,0.05,36480,0,1180,0.00,0.00,0.00,0.00,0.00,0.00,0,0,67.22,17.42,1.34,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,42.47,13.51,1.44,0.23,0.00,0.00,32.21
2023/12/11T00:51:45z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,31,38,1011.84,nan,36568,0,99,0.00,0.00,0.00,0.00,0.00,0.00,0,0,41.15,10.78,2.67,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,30.41,8.25,1.02,0.27,0.00,0.00,nan
2023/12/11T00:53:45z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,31,38,1011.82,0.05,36480,0,219,0.00,0.00,0.00,0.00,0.00,0.00,0,0,56.22,16.50,1.72,0.29,0.21,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0,0,26.84,6.41,0.54,0.00,0.00,0.00,25.00
2023/12/11T00:55:45z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,31,38,1011.89,0.05,36480,0,339,0.00,0.00,0.00,0.00,0.00,0.00,0,0,35.02,9.02,1.88,0.67,0.43,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0,0,45.16,14.05,1.66,0.41,0.00,0.00,25.05
2023/12/11T00:57:44z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,31,38,1011.80,0.05,36480,0,459,0.00,0.00,0.00,0.00,0.00,0.00,0,0,34.15,10.89,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,38.80,10.61,1.00,0.08,0.00,0.00,28.12
2023/12/11T00:59:44z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,31,38,1011.86,0.05,36480,0,579,0.00,0.00,0.00,0.00,0.00,0.00,0,0,45.36,12.56,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,45.21,11.59,1.34,0.00,0.00,0.00,28.60
2023/12/11T01:01:44z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,69,31,37,1011.88,0.05,36480,0,699,0.00,0.00,0.00,0.00,0.00,0.00,0,0,43.30,12.33,1.58,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,38.21,10.96,1.96,0.67,0.00,0.00,28.43
2023/12/11T01:03:44z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,69,31,37,1011.90,0.05,36480,0,819,0.00,0.00,0.00,0.00,0.00,0.00,0,0,45.58,12.18,2.14,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,35.19,11.07,1.63,0.03,0.00,0.00,28.63
2023/12/11T01:05:44z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,31,38,1011.91,0.05,36480,0,939,0.00,0.00,0.00,0.00,0.00,0.00,0,0,42.32,10.39,2.05,0.20,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.12,0,0,33.16,9.48,0.95,0.16,0.16,0.16,28.38
2023/12/11T01:07:44z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,31,38,1011.93,0.05,36480,0,1059,0.00,0.00,0.00,0.00,0.00,0.00,0,0,37.29,10.78,2.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,34.22,10.20,1.64,0.00,0.00,0.00,28.42
