UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2023/12/10T00:01:04z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,69,27,33,1012.84,0.05,36480,0,340,0.47,0.82,1.23,0.47,0.82,1.23,3,3,275.16,79.79,6.25,1.74,0.79,0.30,0.50,0.95,1.52,0.50,0.95,1.52,4,4,247.70,69.30,11.47,1.37,0.63,0.20,25.05
2023/12/10T00:03:03z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,27,34,1012.79,0.05,36168,0,459,0.74,1.16,1.49,0.74,1.16,1.49,5,5,279.74,80.77,9.54,0.96,0.61,0.12,0.12,0.22,0.63,0.12,0.22,0.63,1,1,201.25,58.28,5.35,0.42,0.42,0.20,25.72
2023/12/10T00:05:03z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,27,34,1012.71,0.05,36480,0,579,0.80,0.98,1.51,0.80,0.98,1.51,4,4,263.69,77.81,8.83,1.02,0.83,0.24,0.67,0.95,1.63,0.67,0.95,1.63,4,4,242.37,70.42,8.28,1.35,0.86,0.61,26.55
2023/12/10T00:07:03z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,27,34,1012.61,0.05,35856,0,699,0.51,0.61,1.02,0.51,0.61,1.02,3,3,242.64,69.59,6.66,0.97,0.66,0.00,0.84,1.00,1.22,0.84,1.00,1.22,4,4,256.36,74.51,12.13,0.56,0.18,0.18,26.85
2023/12/10T00:09:03z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,27,34,1012.55,0.05,36168,0,819,0.41,0.66,0.83,0.41,0.66,0.83,3,3,232.34,67.07,8.60,0.69,0.21,0.00,0.27,0.34,0.53,0.27,0.34,0.53,1,1,223.12,61.66,7.24,0.25,0.25,0.08,26.85
2023/12/10T00:11:03z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,27,34,1012.56,0.05,36480,0,939,0.56,0.82,1.79,0.56,0.82,1.79,3,3,254.47,75.11,7.02,1.28,1.26,1.07,0.52,0.91,1.03,0.52,0.91,1.03,4,4,243.93,67.76,6.19,0.36,0.19,0.17,27.08
2023/12/10T00:13:03z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,27,34,1012.58,0.05,36480,0,1059,0.76,1.12,1.59,0.76,1.12,1.59,5,5,287.84,86.26,14.53,1.24,0.38,0.17,0.57,0.98,1.31,0.57,0.98,1.31,4,4,249.93,69.03,6.52,1.07,0.41,0.41,26.72
2023/12/10T00:15:03z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,69,27,33,1012.48,0.05,35544,0,1179,0.34,0.63,0.68,0.34,0.63,0.68,3,3,238.98,68.32,7.53,0.47,0.05,0.05,0.19,0.63,0.77,0.19,0.63,0.77,3,3,207.68,60.14,5.84,0.42,0.19,0.00,26.82
2023/12/10T00:16:43z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,69,27,33,1012.48,nan,36568,0,100,0.56,0.73,1.02,0.56,0.73,1.02,3,3,257.87,72.44,5.67,0.29,0.29,0.29,0.05,0.95,0.98,0.05,0.95,0.98,4,4,211.91,59.18,8.09,1.09,0.43,0.00,nan
2023/12/10T00:18:43z,c4:5b:be:e3:90:e4,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,70,27,34,1012.47,0.05,36480,0,220,0.47,1.05,1.10,0.47,1.05,1.10,4,4,239.05,69.43,7.88,1.10,0.22,0.22,0.18,0.69,0.96,0.18,0.69,0.96,3,3,225.49,61.09,8.22,0.60,0.38,0.18,25.00
