UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2023/11/21T00:00:24z,e0:98:6:26:8:36,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,75,26,38,1020.03,nan,36568,-44,100,1.30,1.78,1.80,1.30,1.78,1.80,7,7,576.07,142.33,2.65,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,141.55,42.82,5.82,0.00,0.00,0.00,nan
2023/11/21T00:02:23z,e0:98:6:26:8:36,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,75,26,38,1019.98,0.01,36480,-39,219,1.03,1.17,1.17,1.03,1.17,1.17,5,5,451.22,108.17,4.29,0.54,0.00,0.00,0.00,0.05,0.05,0.00,0.05,0.05,0,0,177.59,48.68,2.84,0.20,0.00,0.00,25.00
2023/11/21T00:04:23z,e0:98:6:26:8:36,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,75,26,38,1020.01,0.01,36480,-52,339,0.34,0.64,0.78,0.34,0.64,0.78,3,3,300.88,70.67,3.86,0.24,0.24,0.00,0.00,0.37,0.41,0.00,0.37,0.41,2,2,166.73,45.39,7.81,0.64,0.00,0.00,25.01
2023/11/21T00:06:23z,e0:98:6:26:8:36,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,75,26,38,1019.96,0.01,36480,-39,459,1.16,1.43,1.73,1.16,1.43,1.73,6,6,547.66,114.29,8.38,1.07,0.66,0.00,0.00,0.48,0.57,0.00,0.48,0.57,2,2,192.72,54.47,8.05,0.86,0.17,0.00,25.26
2023/11/21T00:08:23z,e0:98:6:26:8:36,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,75,26,38,1019.89,0.01,36480,-41,579,0.78,1.14,1.21,0.78,1.14,1.21,5,5,449.38,103.52,5.19,0.76,0.00,0.00,0.14,0.48,0.48,0.14,0.48,0.48,2,2,184.09,52.67,8.05,0.67,0.22,0.00,25.31
2023/11/21T00:10:23z,e0:98:6:26:8:36,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,75,26,38,1019.92,0.01,36480,-41,699,0.41,0.69,0.86,0.41,0.69,0.86,3,3,442.78,92.71,5.88,0.32,0.24,0.00,0.00,0.56,0.56,0.00,0.56,0.56,2,2,173.89,51.56,9.42,0.56,0.00,0.00,25.61
2023/11/21T00:12:23z,e0:98:6:26:8:36,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,75,26,38,1019.89,0.01,36480,-44,819,0.36,0.45,0.45,0.36,0.45,0.45,2,2,334.71,71.07,3.05,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,0.02,0,0,154.66,45.21,6.55,0.26,0.00,0.00,25.63
2023/11/21T00:14:23z,e0:98:6:26:8:36,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,75,27,38,1019.86,0.01,36480,-41,939,0.74,0.84,1.02,0.74,0.84,1.02,4,4,384.32,93.37,6.12,0.58,0.18,0.00,0.54,0.86,0.86,0.54,0.86,0.86,4,4,243.66,72.31,10.81,0.66,0.00,0.00,26.05
2023/11/21T00:16:23z,e0:98:6:26:8:36,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,75,27,38,1019.83,0.01,36480,-43,1059,0.68,0.98,1.18,0.68,0.98,1.18,4,4,359.84,94.19,7.98,0.84,0.23,0.23,0.76,1.08,1.08,0.76,1.08,1.08,5,5,270.56,76.78,10.36,0.12,0.00,0.00,27.21
2023/11/21T00:18:23z,e0:98:6:26:8:36,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,75,27,38,1019.91,0.01,36480,-40,1179,1.25,1.68,1.72,1.25,1.68,1.72,7,7,552.65,122.58,8.95,0.20,0.12,0.00,0.82,1.00,1.27,0.82,1.00,1.27,4,4,273.75,79.50,10.46,0.80,0.18,0.00,28.13
