UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2023/10/14T00:01:38z,e0:98:6:26:8:36,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,81,33,49,998.79,0.01,36480,-42,340,0.54,0.91,0.91,0.54,0.91,0.91,4,4,366.84,94.51,4.46,0.19,0.00,0.00,0.58,0.95,0.95,0.58,0.95,0.95,4,4,288.61,76.41,8.39,0.36,0.00,0.00,25.07
2023/10/14T00:03:37z,e0:98:6:26:8:36,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,81,33,49,998.76,0.01,36480,-47,459,1.05,1.57,1.57,1.05,1.57,1.57,7,7,472.12,113.20,8.36,0.14,0.00,0.00,0.47,0.73,0.73,0.47,0.73,0.73,3,3,243.05,68.64,4.54,0.05,0.00,0.00,26.80
2023/10/14T00:05:37z,e0:98:6:26:8:36,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,81,33,49,998.82,0.01,36480,-46,579,1.20,1.80,1.80,1.20,1.80,1.80,7,7,410.34,108.14,7.61,0.71,0.22,0.00,0.84,0.96,0.96,0.84,0.96,0.96,4,4,290.63,82.77,7.12,0.16,0.00,0.00,26.33
2023/10/14T00:07:37z,e0:98:6:26:8:36,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,81,33,49,998.85,0.01,36480,-45,699,0.76,0.95,1.37,0.76,0.95,1.37,4,4,329.29,82.19,6.78,0.93,0.46,0.22,1.00,1.00,1.00,1.00,1.00,1.00,4,4,313.12,86.80,4.11,0.43,0.00,0.00,26.98
2023/10/14T00:09:37z,e0:98:6:26:8:36,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,81,33,49,998.87,0.01,36480,-45,819,1.51,1.90,1.90,1.51,1.90,1.90,8,8,602.80,153.25,6.76,0.61,0.00,0.00,0.81,0.97,0.97,0.81,0.97,0.97,4,4,277.60,79.17,7.36,0.33,0.00,0.00,27.15
2023/10/14T00:11:37z,e0:98:6:26:8:36,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,81,33,49,998.89,0.01,36480,-45,939,0.84,1.30,1.30,0.84,1.30,1.30,5,5,369.27,96.73,7.70,0.64,0.00,0.00,0.67,0.85,0.90,0.67,0.85,0.90,4,4,290.85,85.03,8.30,0.50,0.00,0.00,27.51
2023/10/14T00:13:37z,e0:98:6:26:8:36,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,81,33,49,998.96,0.01,36480,-42,1059,0.86,1.24,1.64,0.86,1.24,1.64,5,5,405.78,96.26,7.64,1.28,0.67,0.00,0.44,0.76,0.76,0.44,0.76,0.76,3,3,283.98,79.49,7.34,0.63,0.00,0.00,27.75
2023/10/14T00:15:37z,e0:98:6:26:8:36,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,81,33,49,998.93,0.01,36480,-43,1179,0.87,1.20,1.38,0.87,1.20,1.38,5,5,366.65,89.37,8.72,0.63,0.00,0.00,0.95,1.32,1.45,0.95,1.32,1.45,6,6,314.25,89.25,7.59,1.09,0.20,0.00,28.38
2023/10/14T00:17:17z,e0:98:6:26:8:36,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,81,34,50,998.88,nan,36568,-40,99,1.52,1.78,1.78,1.52,1.78,1.78,7,7,607.11,152.46,3.67,0.17,0.00,0.00,0.26,0.86,1.00,0.26,0.86,1.00,4,4,296.72,86.86,9.00,1.02,0.26,0.00,nan
2023/10/14T00:19:17z,e0:98:6:26:8:36,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,81,33,49,998.92,0.01,36480,-42,219,1.20,1.69,1.69,1.20,1.69,1.69,7,7,507.81,127.44,7.36,0.42,0.00,0.00,0.91,1.32,1.32,0.91,1.32,1.32,6,6,323.68,91.50,8.18,0.36,0.00,0.00,25.00
