UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2023/09/13T00:01:58z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,67,65,54,1010.09,0.02,36480,0,938,3.05,4.73,5.75,3.05,4.73,5.75,20,20,666.33,195.85,36.33,3.16,1.44,1.07,2.81,4.41,5.63,2.81,4.41,5.63,18,18,624.61,174.64,38.54,3.76,1.97,0.64,27.77
2023/09/13T00:03:58z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,67,65,55,1010.10,0.02,36480,0,1058,2.79,4.59,6.14,2.79,4.59,6.14,19,19,655.55,193.83,36.03,4.43,2.14,1.07,2.91,4.33,5.71,2.91,4.33,5.71,18,18,759.78,195.02,28.00,3.31,1.93,0.38,31.40
2023/09/13T00:05:58z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,68,65,56,1010.12,0.02,36480,0,1178,3.00,4.58,5.63,3.00,4.58,5.63,19,19,669.70,188.67,32.33,3.05,1.67,0.40,3.16,4.38,5.88,3.16,4.38,5.88,18,18,767.30,199.07,32.64,3.61,1.70,0.80,30.54
2023/09/13T00:07:37z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,68,66,56,1010.12,nan,36568,0,98,2.89,4.39,5.20,2.89,4.39,5.20,18,18,613.70,182.33,37.76,1.96,0.78,0.50,2.37,3.74,5.91,2.37,3.74,5.91,16,16,687.56,185.88,34.21,4.19,3.16,1.30,nan
2023/09/13T00:09:37z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,68,66,56,1010.06,0.02,36480,0,218,2.90,4.44,5.42,2.90,4.44,5.42,19,19,642.36,188.88,37.27,2.34,1.27,0.61,2.79,4.12,4.70,2.79,4.12,4.70,17,17,658.16,173.84,28.47,2.61,0.86,0.49,25.00
2023/09/13T00:11:37z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,68,66,56,1010.12,0.02,36480,0,338,3.21,4.51,5.84,3.21,4.51,5.84,19,19,677.53,195.86,35.79,3.84,1.95,0.49,2.76,4.29,4.81,2.76,4.29,4.81,18,18,681.31,202.64,32.12,2.05,0.64,0.47,25.05
2023/09/13T00:13:37z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,68,66,56,1010.03,0.02,36480,0,458,3.43,5.27,6.32,3.43,5.27,6.32,22,22,707.89,204.21,42.68,4.23,1.71,0.23,3.52,4.58,5.32,3.52,4.58,5.32,19,19,801.10,212.95,29.95,2.17,0.77,0.00,25.68
2023/09/13T00:15:37z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,67,66,55,1010.15,0.02,36480,0,578,3.79,5.50,6.26,3.79,5.50,6.26,23,23,774.93,222.93,40.29,2.19,0.84,0.14,3.28,4.45,5.83,3.28,4.45,5.83,19,19,750.93,199.19,32.52,4.14,2.02,0.26,27.08
2023/09/13T00:17:37z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,68,66,56,1010.05,0.02,36480,0,698,3.36,4.97,6.75,3.36,4.97,6.75,21,21,699.81,206.85,38.56,4.08,2.66,1.14,3.27,4.23,5.14,3.27,4.23,5.14,18,18,683.25,189.59,31.38,2.38,1.27,0.68,27.91
2023/09/13T00:19:37z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,68,66,56,1010.04,0.02,36480,0,818,3.19,4.62,5.72,3.19,4.62,5.72,19,19,666.00,199.07,36.40,3.50,1.76,0.47,2.93,4.57,5.52,2.93,4.57,5.52,19,19,646.75,187.42,36.45,2.70,1.10,0.47,25.78
