UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2023/08/30T00:01:49z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,64,78,57,1011.47,0.02,36480,0,218,8.17,14.81,15.56,8.17,14.81,15.56,57,57,1484.59,450.95,101.61,5.34,0.95,0.51,8.84,13.48,14.12,8.84,13.48,14.12,54,54,1616.79,470.16,100.95,5.02,1.05,0.39,25.00
2023/08/30T00:03:48z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,64,78,57,1011.49,0.02,36480,0,338,8.93,15.04,15.63,8.93,15.04,15.63,57,57,1569.05,476.51,103.84,5.47,1.05,0.19,8.53,12.73,13.80,8.53,12.73,13.80,53,53,1542.05,453.55,99.65,6.22,1.18,0.00,25.25
2023/08/30T00:05:48z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,63,78,56,1011.47,0.02,36480,0,458,9.04,15.91,16.79,9.04,15.91,16.79,59,59,1610.79,485.68,110.60,7.79,1.49,0.00,7.46,11.90,12.54,7.46,11.90,12.54,50,50,1441.78,427.03,95.58,3.81,0.93,0.24,28.04
2023/08/30T00:07:48z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,64,78,57,1011.42,0.02,36480,0,578,8.66,14.59,14.97,8.66,14.59,14.97,57,57,1535.34,460.80,99.14,5.41,0.61,0.22,8.11,12.35,13.14,8.11,12.35,13.14,52,52,1574.11,459.11,100.19,3.72,0.88,0.42,29.97
2023/08/30T00:09:48z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,63,77,56,1011.46,0.02,36480,0,698,8.23,14.22,14.70,8.23,14.22,14.70,56,56,1464.00,441.17,99.50,6.07,0.52,0.25,7.84,11.34,13.11,7.84,11.34,13.11,47,47,1465.93,430.36,87.29,4.52,2.82,0.89,29.21
2023/08/30T00:11:48z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,63,77,55,1011.49,0.02,36480,0,818,8.14,13.16,13.40,8.14,13.16,13.40,53,53,1425.21,428.78,86.48,3.78,0.24,0.24,8.22,12.83,13.12,8.22,12.83,13.12,53,53,1491.41,448.46,104.58,2.25,0.42,0.00,31.46
2023/08/30T00:13:48z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,63,77,55,1011.45,0.02,36480,0,938,7.65,14.29,14.96,7.65,14.29,14.96,56,56,1432.80,427.22,96.73,7.18,1.15,0.00,6.88,10.90,11.63,6.88,10.90,11.63,45,45,1399.22,402.68,91.63,4.47,0.92,0.17,31.36
2023/08/30T00:15:48z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,63,77,55,1011.52,0.02,36480,0,1058,7.76,12.93,13.71,7.76,12.93,13.71,53,53,1374.31,414.78,90.59,4.59,0.76,0.00,6.97,10.83,11.91,6.97,10.83,11.91,45,45,1340.43,393.60,88.88,3.84,1.67,0.40,28.71
2023/08/30T00:17:48z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,63,77,56,1011.58,0.02,36480,0,1178,7.48,12.72,13.33,7.48,12.72,13.33,53,53,1337.90,403.41,86.55,3.74,0.36,0.12,7.11,10.57,10.93,7.11,10.57,10.93,44,44,1313.25,384.20,78.16,3.48,0.55,0.18,27.74
2023/08/30T00:19:27z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,63,77,55,1011.56,nan,36568,0,98,7.31,12.09,13.11,7.31,12.09,13.11,51,51,1347.93,403.98,85.13,3.44,1.04,0.51,7.45,10.90,10.95,7.45,10.90,10.95,45,45,1391.57,402.43,69.26,2.45,0.24,0.00,nan
2023/08/30T00:21:27z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,64,77,57,1011.54,0.02,36480,0,218,7.31,12.14,12.24,7.31,12.14,12.24,51,51,1325.29,395.68,76.86,5.32,0.27,0.02,6.50,10.05,10.98,6.50,10.05,10.98,42,42,1223.79,361.93,84.16,4.79,1.45,0.17,25.00
2023/08/30T00:23:27z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,63,77,56,1011.47,0.02,36480,0,338,7.04,12.12,12.96,7.04,12.12,12.96,51,51,1300.82,390.46,82.55,4.32,1.27,0.41,6.64,10.54,11.36,6.64,10.54,11.36,44,44,1264.78,367.37,89.46,4.49,1.12,0.88,25.23
2023/08/30T00:25:27z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,64,77,56,1011.51,0.02,36480,0,458,7.04,11.88,12.02,7.04,11.88,12.02,49,49,1284.27,379.52,83.16,3.96,0.39,0.00,6.24,10.45,10.81,6.24,10.45,10.81,44,44,1231.60,366.43,84.69,3.84,0.66,0.00,25.71
