UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2023/09/28T00:01:30z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,63,63,50,1008.64,0.02,36480,0,819,0.76,1.64,2.19,0.76,1.64,2.19,7,7,304.73,89.53,15.34,1.44,0.98,0.15,0.52,0.86,1.21,0.52,0.86,1.21,4,4,268.81,74.03,8.29,0.67,0.67,0.67,29.63
2023/09/28T00:03:29z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,63,63,50,1008.58,0.02,36480,0,939,0.88,1.59,2.21,0.88,1.59,2.21,7,7,276.70,82.11,14.71,1.84,0.82,0.23,0.54,0.86,1.58,0.54,0.86,1.58,4,4,305.49,80.54,13.83,1.29,1.12,0.32,31.10
2023/09/28T00:05:29z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,63,63,50,1008.60,0.02,36480,0,1059,0.97,1.51,1.75,0.97,1.51,1.75,6,6,294.76,89.42,13.22,1.39,0.25,0.00,0.69,1.22,1.74,0.69,1.22,1.74,5,5,299.12,84.22,10.52,2.21,1.10,0.00,28.81
2023/09/28T00:07:29z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,64,63,51,1008.57,0.02,36480,0,1179,0.95,1.74,1.79,0.95,1.74,1.79,7,7,304.86,90.93,14.19,1.64,0.33,0.00,0.59,1.29,1.93,0.59,1.29,1.93,5,5,283.45,79.66,10.98,2.66,0.68,0.23,26.31
2023/09/28T00:09:09z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,64,63,51,1008.65,nan,36568,0,99,1.00,1.67,2.02,1.00,1.67,2.02,7,7,313.33,91.76,15.76,0.80,0.38,0.00,0.64,1.77,2.98,0.64,1.77,2.98,7,7,333.34,94.82,23.41,4.59,1.64,0.00,nan
2023/09/28T00:11:08z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,64,63,51,1008.61,0.02,36480,0,219,0.86,1.19,1.34,0.86,1.19,1.34,5,5,279.21,81.12,12.02,0.31,0.22,0.00,0.55,1.30,2.21,0.55,1.30,2.21,5,5,347.14,88.46,15.70,2.50,1.57,0.52,25.00
2023/09/28T00:13:08z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,64,63,51,1008.66,0.02,36480,0,339,0.86,1.53,1.96,0.86,1.53,1.96,6,6,302.32,87.23,11.86,2.65,0.44,0.00,0.88,1.26,2.48,0.88,1.26,2.48,5,5,301.55,86.90,12.55,2.71,1.66,0.84,25.03
2023/09/28T00:15:08z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,65,63,52,1008.69,0.02,36480,0,459,0.89,1.62,1.68,0.89,1.62,1.68,7,7,308.52,87.09,13.95,2.11,0.11,0.00,0.34,0.98,1.53,0.34,0.98,1.53,4,4,303.00,86.02,14.34,1.49,0.49,0.08,25.62
2023/09/28T00:17:08z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,64,63,51,1008.60,0.02,36480,0,579,1.00,1.72,2.05,0.92,1.72,2.05,7,7,295.50,85.38,13.55,1.62,0.50,0.23,0.66,1.19,2.22,0.66,1.19,2.22,5,5,312.41,87.74,13.41,2.22,1.36,0.36,28.07
2023/09/28T00:19:08z,44:17:93:1:9a:1c,7.01,3.0+OPENLOG+31954 MB+RV3028+BME280+BME680+PMSX003-A+PMSX003-B,64,63,51,1008.61,0.02,36480,0,699,1.00,1.80,2.12,1.00,1.80,2.12,7,7,326.03,95.68,16.00,1.90,0.56,0.22,0.91,1.79,2.82,0.91,1.79,2.82,7,7,316.29,91.80,17.20,2.77,1.79,0.50,31.71
